iter	MultiClass
0	0.8678278779
1	0.7272742829
2	0.5271487435
3	0.4712114938
4	0.417447696
5	0.357963881
6	0.3193569252
7	0.2773570449
8	0.2509077211
9	0.2258877103
10	0.2118095912
11	0.1963856485
12	0.1847194651
13	0.175127981
14	0.1623755096
15	0.1523704516
16	0.143091617
17	0.1372728959
18	0.1302324379
19	0.122120711
20	0.1132899562
21	0.1069616803
22	0.1001823585
23	0.09400638755
24	0.08955226788
25	0.08211161192
26	0.07837916634
27	0.0751236847
28	0.0693131182
29	0.06646181529
30	0.06405024397
31	0.06108937
32	0.05860212169
33	0.05659165216
34	0.05486738628
35	0.05318132084
36	0.05098447626
37	0.04868620636
38	0.04639834454
39	0.04499303854
40	0.04378384168
41	0.04256606171
42	0.04153284045
43	0.04015872618
44	0.03889005587
45	0.03786061413
46	0.03690687508
47	0.03607173633
48	0.03513221993
49	0.03372477796
50	0.03303603344
51	0.03213102437
52	0.03164911785
53	0.03132758126
54	0.03040138184
55	0.02972716591
56	0.02927547525
57	0.0281371136
58	0.02732627385
59	0.02687951089
60	0.02651635323
61	0.02603182799
62	0.02549925565
63	0.02515158931
64	0.02458316147
65	0.02417215302
66	0.02381835808
67	0.02345025703
68	0.02297854421
69	0.0227070149
70	0.02240689277
71	0.0220122238
72	0.02170636409
73	0.02131652774
74	0.02090827229
75	0.02061210811
76	0.02017983169
77	0.01989051081
78	0.01944712245
79	0.01911733552
80	0.0188333155
81	0.0186250741
82	0.01819067478
83	0.01784660489
84	0.0175808103
85	0.01725949012
86	0.01702319418
87	0.0167658475
88	0.01657194331
89	0.01629442913
90	0.01614220354
91	0.01602222357
92	0.01581962777
93	0.01564705114
94	0.01550186997
95	0.01533794279
96	0.01509243925
97	0.01500181362
98	0.01488741233
99	0.01474000722
