iter	Logloss
0	0.5415671444
1	0.4865573576
2	0.445660872
3	0.4100608923
4	0.3895935135
5	0.3725777154
6	0.3549046054
7	0.3437650727
8	0.335274388
9	0.3222093436
10	0.3146314154
11	0.3100827847
12	0.302743564
13	0.2882776205
14	0.2793213643
15	0.2716804803
16	0.2638703576
17	0.2548975336
18	0.2422196394
19	0.236073138
20	0.2249221094
21	0.2142090245
22	0.2072368112
23	0.2010060775
24	0.1871292832
25	0.1777225292
26	0.1668552864
27	0.1592097487
28	0.1560020335
29	0.1458717127
30	0.1417072574
31	0.1368102754
32	0.1291139287
33	0.1237552523
34	0.1194958595
35	0.1111818124
36	0.1022689728
37	0.09703459836
38	0.09295347438
39	0.08827527553
40	0.08532424877
41	0.08352727803
42	0.07810407656
43	0.07769481157
44	0.07565356664
45	0.0746252844
46	0.0726730719
47	0.072026386
48	0.06934078645
49	0.06851940224
50	0.06515116638
51	0.06368675877
52	0.06158198716
53	0.05996269509
54	0.05739538756
55	0.05392224601
56	0.0514343476
57	0.05025154857
58	0.04887564782
59	0.04757846034
60	0.04594797936
61	0.04509832086
62	0.04368042917
63	0.04193938707
64	0.04139454794
65	0.04083373151
66	0.03938321285
67	0.03913546461
68	0.03873749964
69	0.03794683117
70	0.03766587124
71	0.03655807972
72	0.03569994724
73	0.03480695238
74	0.03407900431
75	0.03346334639
76	0.0328251881
77	0.03156001282
78	0.03060231702
79	0.02980256267
80	0.02911024434
81	0.02875593178
82	0.02845109516
83	0.02753436385
84	0.02675891448
85	0.02647828569
86	0.02608747832
87	0.02556350268
88	0.02532466809
89	0.02515262848
90	0.02453499899
91	0.02388969917
92	0.02367516306
93	0.0233362709
94	0.02293406517
95	0.02234222933
96	0.02191831994
97	0.02176768381
98	0.02138087106
99	0.0210633037
100	0.02092101927
101	0.02085405614
102	0.02015455837
103	0.01988921794
104	0.01956473163
105	0.01935967513
106	0.0193180091
107	0.019130249
108	0.01895212258
109	0.01880293823
110	0.01863621693
111	0.01838490848
112	0.01818185532
113	0.01806369162
114	0.01759594291
115	0.01724456846
116	0.0169856862
117	0.01677971183
118	0.01659836738
119	0.01627503327
120	0.01603640249
121	0.01569108471
122	0.01552328663
123	0.01551463527
124	0.01546627909
125	0.01520980793
126	0.01498609151
127	0.01482641286
128	0.01466246966
129	0.01440893779
130	0.01397968869
131	0.01378048965
132	0.01364227832
133	0.01349244
134	0.01339870224
135	0.01324080897
136	0.01307890612
137	0.01291814469
138	0.01257099828
139	0.01251835101
140	0.01242067465
141	0.01228225573
142	0.01218224176
143	0.0121275521
144	0.01201805655
145	0.01185345038
146	0.01169444373
147	0.01159254113
148	0.01153780253
149	0.01141182256
150	0.01133574108
151	0.01120371849
152	0.01118743234
153	0.01117636234
154	0.01115631426
155	0.01095529631
156	0.01080318631
157	0.01063102258
158	0.01048947776
159	0.01036842469
160	0.01025620332
161	0.0101764825
162	0.01007540988
163	0.009990188636
164	0.009892504242
165	0.00981565629
166	0.009783241744
167	0.009783162768
168	0.00977895712
169	0.009726897609
170	0.009648339301
171	0.009600899258
172	0.009567916593
173	0.009433806951
174	0.009359427865
175	0.009306951909
176	0.009250459999
177	0.009227064778
178	0.009137414796
179	0.00892004663
180	0.008835121631
181	0.008798742485
182	0.00877628644
183	0.008739143112
184	0.008694694806
185	0.008683248235
186	0.008630101171
187	0.008590447445
188	0.008562215546
189	0.008501256509
190	0.008491524391
191	0.008453490756
192	0.008453519997
193	0.00841996814
194	0.008396215353
195	0.008316382647
196	0.008303041645
197	0.008239710911
198	0.00810154422
199	0.007962508464
200	0.007868473167
201	0.007832022918
202	0.007738095976
203	0.007738068795
204	0.007738026082
205	0.007738034086
206	0.007662780019
207	0.007610435388
208	0.007580582821
209	0.007546272635
210	0.007518691204
211	0.007475920946
212	0.007381945418
213	0.007281970854
214	0.007197674366
215	0.007130384504
216	0.007098640286
217	0.007098562357
218	0.007098467341
219	0.007077827664
220	0.007020536068
221	0.006998858587
222	0.006954199565
223	0.00692580099
224	0.006894020079
225	0.006856920003
226	0.006835803128
227	0.006782942783
228	0.006782922053
229	0.006735865806
230	0.006713860584
231	0.006677868636
232	0.006638983305
233	0.006591996237
234	0.006561487646
235	0.006536453443
236	0.006471374492
237	0.006455520102
238	0.006415170972
239	0.006415022101
240	0.006414982106
241	0.006337230017
242	0.006292539038
243	0.006292445845
244	0.00624756986
245	0.006247590052
246	0.006247185877
247	0.006202090919
248	0.006147042308
249	0.006136620739
